                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3828,                 3.2654,                 1.0804,                0.02773,                0.55115,                 0.0982,                0.05878,                 1.4147,                 3.0551,                0.98253,             0.00023634,             0.00023634,             0.00023634
                      2,                 1.3165,                 1.7842,                 1.0325,                0.87758,                 0.0716,                0.15715,                0.09966,                 1.2582,                 2.4249,                0.97578,             0.00048082,             0.00048082,             0.00048082
                      3,                  1.234,                 1.4404,                 1.0126,                0.56238,                0.18879,                0.24665,                0.14334,                 1.2168,                 1.5138,                 0.9827,             0.00072432,             0.00072432,             0.00072432
                      4,                 1.1859,                 1.2964,                0.99224,                0.59813,                0.28754,                0.30617,                 0.2138,                 1.1822,                 1.4874,                0.97982,              0.0009036,              0.0009036,              0.0009036
                      5,                 1.1439,                 1.2267,                0.99495,                 0.5233,                0.30913,                0.36997,                0.20599,                 1.1825,                 1.5209,                0.96787,              0.0009036,              0.0009036,              0.0009036
                      6,                 1.1263,                 1.1588,                 0.9862,                0.49885,                0.42091,                0.40108,                0.26786,                 1.1284,                 1.3423,                0.94409,              0.0009018,              0.0009018,              0.0009018
                      7,                 1.0896,                 1.0958,                0.96903,                0.60168,                0.46835,                0.43485,                0.29737,                 1.0766,                 1.0871,                0.94038,                 0.0009,                 0.0009,                 0.0009
                      8,                 1.0874,                 1.0586,                0.97028,                0.66749,                0.27354,                0.34314,                0.21497,                 1.0739,                0.95836,                0.96236,              0.0008982,              0.0008982,              0.0008982
                      9,                  1.042,                0.98217,                0.95272,                0.28066,                0.29403,                0.28893,                 0.1799,                 1.0837,                 1.0071,                0.97211,              0.0008964,              0.0008964,              0.0008964
                     10,                 1.0476,                0.97967,                0.96082,                0.43835,                0.34851,                0.45723,                0.32417,                 1.0369,                0.90715,                0.94509,              0.0008946,              0.0008946,              0.0008946
                     11,                 1.0406,                0.95415,                0.94962,                0.35355,                0.45419,                0.34765,                0.21536,                 1.0764,                 1.0024,                0.94146,              0.0008928,              0.0008928,              0.0008928
                     12,                 1.0228,                0.93047,                0.94779,                0.40624,                0.41814,                0.40636,                0.25807,                 1.0455,                0.91698,                0.95689,               0.000891,               0.000891,               0.000891
                     13,                0.99033,                0.87685,                0.93653,                0.72418,                 0.3524,                0.38987,                0.25269,                 1.0281,                0.84397,                0.95686,              0.0008892,              0.0008892,              0.0008892
                     14,                0.97725,                 0.8603,                0.93729,                0.56022,                0.52453,                0.52396,                0.35261,                 1.0688,                0.84485,                 0.9594,              0.0008874,              0.0008874,              0.0008874
                     15,                0.99084,                0.84099,                0.93883,                0.49783,                0.41604,                0.39132,                0.25472,                 1.0791,                0.90093,                0.95518,              0.0008856,              0.0008856,              0.0008856
                     16,                0.97338,                0.83968,                0.92698,                0.42973,                0.49837,                0.46325,                0.31475,                  1.033,                0.84171,                0.96001,              0.0008838,              0.0008838,              0.0008838
                     17,                0.97065,                 0.8097,                0.92833,                0.46229,                0.47407,                0.43887,                0.27775,                 1.0382,                0.82597,                0.94794,               0.000882,               0.000882,               0.000882
                     18,                0.94823,                0.79797,                0.92384,                0.51652,                0.46983,                0.48408,                0.33024,                 1.0475,                0.90291,                0.94418,              0.0008802,              0.0008802,              0.0008802
                     19,                0.96563,                0.80445,                0.92726,                0.48848,                0.49012,                0.44991,                0.30112,                 1.0725,                0.85936,                 0.9513,              0.0008784,              0.0008784,              0.0008784
                     20,                0.94968,                0.77173,                0.91867,                0.52371,                0.47474,                0.49541,                0.33243,                 1.0213,                0.80361,                0.94424,              0.0008766,              0.0008766,              0.0008766
                     21,                0.90933,                0.75053,                0.91411,                0.60011,                0.46028,                0.51832,                0.33823,                 1.0224,                0.82303,                0.94191,              0.0008748,              0.0008748,              0.0008748
                     22,                0.92786,                0.74418,                0.91413,                0.50655,                0.53286,                0.50451,                0.33991,                  1.037,                0.78814,                0.94759,               0.000873,               0.000873,               0.000873
                     23,                0.91169,                0.73244,                0.92014,                0.53236,                0.45792,                0.51604,                0.32417,                 1.0176,                0.77104,                0.94745,              0.0008712,              0.0008712,              0.0008712
                     24,                0.91303,                0.72287,                 0.9136,                0.64836,                0.37126,                0.46462,                0.30058,                 1.0257,                0.80412,                0.95402,              0.0008694,              0.0008694,              0.0008694
                     25,                0.90936,                 0.7151,                0.91241,                0.44023,                0.45881,                0.46039,                0.30536,                 1.0511,                0.79202,                0.95331,              0.0008676,              0.0008676,              0.0008676
                     26,                0.90753,                0.70273,                0.91238,                0.69713,                0.47633,                0.55125,                0.35274,                  1.028,                0.76216,                0.95333,              0.0008658,              0.0008658,              0.0008658
                     27,                0.88097,                0.68813,                0.90916,                 0.5233,                0.47091,                0.52066,                0.34795,                 1.0576,                0.80075,                  0.964,               0.000864,               0.000864,               0.000864
                     28,                0.88763,                0.67892,                0.90573,                0.59174,                0.47274,                0.52291,                0.33988,                 1.0454,                 0.7757,                0.95205,              0.0008622,              0.0008622,              0.0008622
                     29,                0.89738,                0.68481,                0.90973,                0.66271,                0.58119,                0.54068,                0.36599,                 1.0241,                0.77163,                0.94986,              0.0008604,              0.0008604,              0.0008604
                     30,                0.88879,                0.67232,                0.90455,                0.70198,                0.47071,                0.52451,                0.36494,                 1.0236,                0.75495,                0.95826,             0.00085861,             0.00085861,             0.00085861
                     31,                0.86407,                0.64635,                0.89768,                0.69799,                0.46213,                0.55736,                0.35523,                 1.0517,                0.75136,                 0.9624,             0.00085681,             0.00085681,             0.00085681
                     32,                0.88485,                0.65829,                 0.8971,                0.64332,                0.45491,                0.51911,                0.33977,                  1.021,                0.79147,                0.95652,             0.00085501,             0.00085501,             0.00085501
                     33,                0.86242,                0.64192,                0.89692,                 0.6764,                0.48978,                0.56038,                0.37451,                 1.0179,                0.69897,                0.95087,             0.00085321,             0.00085321,             0.00085321
                     34,                0.84905,                0.61878,                0.89744,                0.64947,                0.47577,                0.55702,                0.37037,                 1.0363,                0.73039,                0.95877,             0.00085141,             0.00085141,             0.00085141
                     35,                0.84167,                0.61297,                0.89772,                0.55965,                0.52699,                0.53426,                0.38204,                 1.0085,                0.71689,                0.94091,             0.00084961,             0.00084961,             0.00084961
                     36,                0.84487,                 0.6162,                0.89708,                0.63991,                0.47429,                0.54221,                0.35558,                 1.0075,                0.70855,                0.95002,             0.00084781,             0.00084781,             0.00084781
                     37,                 0.8487,                0.61472,                0.89476,                0.55977,                0.43386,                0.48531,                0.30386,                  1.049,                0.74646,                0.96039,             0.00084601,             0.00084601,             0.00084601
                     38,                0.84353,                0.60795,                0.89259,                0.55525,                0.55776,                0.53601,                0.35542,                 1.0274,                0.75882,                0.96132,             0.00084421,             0.00084421,             0.00084421
                     39,                0.84787,                0.60532,                0.89242,                0.63203,                 0.5464,                 0.5224,                0.30947,                 1.0291,                0.73561,                0.95929,             0.00084241,             0.00084241,             0.00084241
                     40,                0.85006,                0.59325,                0.89198,                 0.4859,                 0.5444,                0.50263,                0.31367,                 1.0769,                 0.7438,                0.96854,             0.00084061,             0.00084061,             0.00084061
                     41,                0.83043,                0.58857,                0.88811,                0.67375,                 0.5236,                0.56836,                0.37363,                 1.0388,                0.68796,                0.95835,             0.00083881,             0.00083881,             0.00083881
                     42,                0.81556,                0.58624,                0.88522,                0.60217,                0.50408,                0.54375,                 0.3628,                 1.0222,                0.68243,                0.95277,             0.00083701,             0.00083701,             0.00083701
                     43,                0.81074,                0.56748,                0.88578,                0.69369,                0.49441,                0.52355,                0.34504,                 1.0236,                0.71252,                0.94969,             0.00083521,             0.00083521,             0.00083521
                     44,                0.80779,                0.56551,                0.88626,                0.62157,                0.52562,                0.56175,                0.37036,                 1.0104,                0.68268,                0.95235,             0.00083341,             0.00083341,             0.00083341
                     45,                0.80065,                0.55699,                0.88255,                0.43741,                0.52672,                0.51833,                0.36551,                0.98283,                0.68334,                0.93299,             0.00083161,             0.00083161,             0.00083161
                     46,                0.81532,                0.56663,                0.88473,                0.73359,                0.46441,                0.53529,                0.35326,                 1.0176,                0.68521,                0.95341,             0.00082981,             0.00082981,             0.00082981
                     47,                0.79821,                0.55803,                0.88094,                0.72848,                0.46211,                 0.5635,                0.37923,                 1.0195,                0.67526,                 0.9525,             0.00082801,             0.00082801,             0.00082801
                     48,                0.79814,                0.55968,                0.88233,                0.66673,                0.47907,                0.55893,                0.38461,                 1.0403,                0.71662,                0.96332,             0.00082621,             0.00082621,             0.00082621
                     49,                0.79117,                0.55046,                0.88488,                 0.6602,                0.53075,                0.56484,                0.40015,                 1.0285,                0.67874,                0.96636,             0.00082441,             0.00082441,             0.00082441
                     50,                0.79379,                0.55451,                0.87898,                0.64605,                0.51622,                0.52576,                0.36041,                 1.0274,                0.67163,                0.95556,             0.00082261,             0.00082261,             0.00082261
                     51,                 0.7967,                0.54718,                0.88328,                0.61457,                0.44275,                0.49103,                0.32985,                 1.0367,                0.68449,                0.96751,             0.00082081,             0.00082081,             0.00082081
                     52,                0.79756,                0.54578,                0.88509,                0.62167,                0.51822,                0.53532,                0.36002,                0.99812,                0.67839,                0.95019,             0.00081901,             0.00081901,             0.00081901
                     53,                0.80547,                0.54408,                0.87854,                0.60575,                0.53639,                0.55368,                0.38337,                 1.0156,                0.69279,                0.95973,             0.00081721,             0.00081721,             0.00081721
                     54,                 0.7768,                0.53936,                0.87513,                0.66893,                0.48887,                0.54935,                0.37383,                 1.0414,                0.67464,                0.95799,             0.00081541,             0.00081541,             0.00081541
                     55,                0.77864,                0.53275,                0.87345,                0.76366,                0.41702,                 0.5144,                0.34958,                  1.001,                0.68983,                0.95218,             0.00081361,             0.00081361,             0.00081361
                     56,                0.76968,                0.53006,                0.87503,                0.49165,                  0.491,                0.52923,                 0.3679,                 1.0261,                0.68873,                0.96338,             0.00081181,             0.00081181,             0.00081181
                     57,                0.75273,                0.52512,                0.87195,                0.61501,                0.46482,                0.50487,                0.34623,                 1.0159,                 0.6646,                 0.9636,             0.00081001,             0.00081001,             0.00081001
                     58,                0.78199,                0.53667,                0.87699,                 0.6214,                0.46088,                0.50248,                0.32159,                 1.0253,                0.67118,                0.96514,             0.00080821,             0.00080821,             0.00080821
                     59,                 0.7717,                0.52966,                0.87401,                0.58219,                0.46284,                0.53196,                0.36048,                  1.034,                0.67625,                0.96709,             0.00080641,             0.00080641,             0.00080641
                     60,                 0.7694,                0.51802,                0.87253,                0.57953,                0.54136,                0.53907,                0.36389,                 1.0258,                 0.6748,                0.96682,             0.00080461,             0.00080461,             0.00080461
                     61,                0.75312,                 0.5046,                0.86276,                0.64367,                0.46654,                0.50969,                0.33657,                 1.0033,                0.66404,                0.96127,             0.00080281,             0.00080281,             0.00080281
                     62,                0.76051,                0.50426,                0.86719,                0.64208,                0.48726,                 0.5641,                0.40788,                 1.0237,                0.65745,                0.96225,             0.00080101,             0.00080101,             0.00080101
                     63,                0.74629,                0.51006,                0.87381,                0.60285,                0.50691,                 0.5422,                0.36455,                 1.0427,                0.66904,                0.97181,             0.00079921,             0.00079921,             0.00079921
                     64,                0.75371,                0.50701,                0.86751,                0.54365,                0.51137,                0.50805,                0.35782,                 0.9964,                0.68757,                0.95871,             0.00079741,             0.00079741,             0.00079741
                     65,                0.72807,                0.49464,                0.86301,                0.68727,                0.47654,                0.52975,                0.37524,                 1.0061,                 0.6784,                0.96228,             0.00079561,             0.00079561,             0.00079561
                     66,                0.74413,                0.50393,                0.86963,                0.65657,                 0.4765,                0.54792,                 0.3699,                 1.0497,                0.66458,                0.97672,             0.00079381,             0.00079381,             0.00079381
                     67,                0.75879,                0.50515,                0.86649,                0.67664,                0.47998,                 0.5356,                0.35693,                 1.0656,                0.68683,                0.98236,             0.00079201,             0.00079201,             0.00079201
                     68,                0.72766,                0.49005,                0.85956,                0.74912,                0.45283,                0.53698,                0.36457,                0.99807,                 0.6429,                0.96047,             0.00079021,             0.00079021,             0.00079021
                     69,                 0.7104,                0.48023,                0.86218,                 0.6304,                0.51137,                0.52963,                0.36152,                 1.0231,                 0.6501,                0.96859,             0.00078841,             0.00078841,             0.00078841
                     70,                0.72972,                0.48554,                0.86274,                 0.6185,                0.57578,                0.57881,                0.39198,                 1.0159,                0.62969,                 0.9675,             0.00078661,             0.00078661,             0.00078661
                     71,                0.73647,                0.49402,                 0.8635,                 0.4749,                0.49813,                0.50608,                0.33804,                 1.0047,                0.64784,                0.95409,             0.00078481,             0.00078481,             0.00078481
                     72,                0.71522,                0.48235,                0.87067,                0.68724,                0.46133,                0.55172,                0.38176,                 1.0034,                0.64806,                0.96124,             0.00078301,             0.00078301,             0.00078301
                     73,                0.71684,                0.47582,                0.86212,                0.61439,                0.49684,                 0.5604,                0.36668,                 1.0035,                 0.6472,                0.96055,             0.00078121,             0.00078121,             0.00078121
                     74,                0.71929,                0.47667,                0.86381,                0.69578,                0.47109,                0.54648,                 0.3722,                 1.0171,                0.64954,                0.96189,             0.00077941,             0.00077941,             0.00077941
                     75,                0.71004,                0.47679,                 0.8619,                0.75329,                0.49451,                0.57196,                0.39338,                 1.0204,                0.65944,                0.96275,             0.00077761,             0.00077761,             0.00077761
                     76,                0.71582,                0.47685,                0.85925,                0.78189,                0.48548,                0.57974,                0.39548,                 1.0143,                0.64798,                0.96969,             0.00077581,             0.00077581,             0.00077581
