                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.88363,                0.62482,                0.90676,                0.64285,                0.48302,                0.54308,                0.35544,                  1.079,                0.74809,                0.96292,              0.0008784,              0.0008784,              0.0008784
                     37,                 0.8608,                0.59726,                0.89462,                0.68724,                0.49153,                0.56848,                0.36665,                 1.0505,                 0.7235,                0.94953,              0.0008775,              0.0008775,              0.0008775
                     38,                0.86657,                0.60052,                0.88812,                0.54584,                0.50905,                0.52002,                0.31399,                 1.0619,                0.73494,                0.96376,              0.0008766,              0.0008766,              0.0008766
                     39,                0.85344,                0.58693,                0.88809,                0.76375,                0.51964,                0.55249,                0.33702,                 1.0365,                0.70969,                0.95198,              0.0008757,              0.0008757,              0.0008757
                     40,                0.83033,                0.58838,                 0.8857,                0.47729,                0.56869,                0.53009,                0.33739,                 1.0157,                 0.6991,                0.94056,              0.0008748,              0.0008748,              0.0008748
                     41,                0.84122,                0.57781,                0.88789,                0.62579,                0.50421,                0.54679,                0.34689,                 1.0537,                 0.6958,                0.94653,              0.0008739,              0.0008739,              0.0008739
                     42,                0.83968,                0.57148,                0.89006,                0.52866,                0.52914,                0.50883,                0.32237,                 1.0188,                0.71763,                 0.9516,               0.000873,               0.000873,               0.000873
                     43,                0.84955,                0.57377,                0.88766,                0.71409,                0.59659,                0.60965,                0.40196,                 1.0374,                0.67064,                0.95876,              0.0008721,              0.0008721,              0.0008721
                     44,                0.83693,                0.56358,                0.88305,                0.63264,                0.43651,                0.50702,                0.31731,                  1.035,                0.71518,                0.96631,              0.0008712,              0.0008712,              0.0008712
                     45,                0.83495,                0.56068,                 0.8871,                0.66128,                0.55232,                 0.5677,                 0.3752,                 1.0214,                0.69995,                0.96555,              0.0008703,              0.0008703,              0.0008703
                     46,                0.84868,                0.56571,                0.88133,                0.45873,                0.56183,                 0.5155,                0.34998,                 1.0377,                 0.6966,                0.96782,              0.0008694,              0.0008694,              0.0008694
                     47,                0.82488,                0.55071,                0.88044,                0.59738,                0.53649,                0.56637,                0.36626,                 1.0073,                0.68393,                0.94854,              0.0008685,              0.0008685,              0.0008685
                     48,                 0.8134,                0.53873,                0.87555,                0.58255,                0.52106,                0.52166,                0.36007,                  1.032,                0.68416,                 0.9566,              0.0008676,              0.0008676,              0.0008676
