                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92934,                0.61344,                0.98648,                0.81238,                0.86625,                0.89905,                0.64561,                0.92958,                0.57857,                0.96489,             0.00082925,             0.00082925,             0.00082925
                     36,                0.90677,                 0.6059,                0.96756,                0.88077,                0.79749,                0.89291,                0.64889,                0.90582,                0.58298,                0.96198,             0.00081688,             0.00081688,             0.00081688
                     37,                0.91446,                0.60242,                0.96867,                0.83132,                0.82835,                 0.8734,                0.63056,                0.91633,                0.58579,                0.96483,              0.0008045,              0.0008045,              0.0008045
                     38,                0.89682,                  0.584,                0.97004,                0.80852,                 0.8706,                0.88967,                0.63983,                0.92616,                0.56996,                0.96422,             0.00079213,             0.00079213,             0.00079213
                     39,                 0.9123,                 0.5888,                 0.9668,                 0.8432,                0.80625,                0.87551,                0.62231,                0.94343,                0.56804,                 0.9749,             0.00077975,             0.00077975,             0.00077975
                     40,                0.89978,                0.58667,                0.97874,                0.83942,                0.84912,                0.89176,                0.64801,                0.92888,                0.56531,                0.97419,             0.00076738,             0.00076738,             0.00076738
                     41,                0.88788,                 0.5684,                0.96337,                 0.8274,                0.86548,                0.89159,                0.64756,                0.91111,                0.54854,                0.95972,               0.000755,               0.000755,               0.000755
                     42,                0.88758,                0.55943,                0.96532,                0.82755,                0.85079,                0.88981,                0.64162,                0.92074,                0.55731,                0.96837,             0.00074263,             0.00074263,             0.00074263
                     43,                0.89509,                0.56871,                0.96767,                0.81659,                0.82987,                0.87678,                  0.643,                0.90511,                0.54349,                0.95644,             0.00073025,             0.00073025,             0.00073025
                     44,                0.90187,                0.57502,                0.96947,                0.90101,                0.80276,                0.89618,                 0.6578,                0.91958,                 0.5371,                0.95431,             0.00071788,             0.00071788,             0.00071788
                     45,                 0.8801,                0.55745,                0.95735,                0.86947,                 0.8245,                0.88839,                0.65039,                0.91053,                 0.5537,                0.96018,              0.0007055,              0.0007055,              0.0007055
                     46,                  0.877,                0.56188,                 0.9617,                0.85053,                0.83208,                0.89567,                0.65229,                0.92068,                0.54819,                0.96464,             0.00069313,             0.00069313,             0.00069313
                     47,                0.87689,                 0.5472,                0.95844,                0.85796,                0.80874,                0.89312,                0.64699,                0.92344,                 0.5399,                0.96846,             0.00068075,             0.00068075,             0.00068075
                     48,                0.89843,                0.55673,                0.96512,                 0.7987,                0.87763,                0.89462,                0.64644,                0.92873,                0.54217,                0.96134,             0.00066838,             0.00066838,             0.00066838
                     49,                0.87318,                0.53459,                0.95561,                0.87144,                0.82141,                0.88027,                0.63842,                0.92347,                0.54157,                0.96764,               0.000656,               0.000656,               0.000656
                     50,                0.85857,                 0.5417,                0.95216,                0.84658,                0.83015,                 0.8919,                0.64602,                0.91447,                0.55019,                 0.9603,             0.00064362,             0.00064362,             0.00064362
                     51,                0.85702,                0.53301,                0.95234,                0.87915,                0.80819,                0.90159,                0.65372,                0.92041,                0.53307,                0.96336,             0.00063125,             0.00063125,             0.00063125
